cod_reg,regione,link
13,Abruzzo,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Regione-Abruzzo-Stemma.svg/100px-Regione-Abruzzo-Stemma.svg.png
17,Basilicata,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Regione-Basilicata-Stemma.svg/100px-Regione-Basilicata-Stemma.svg.png
18,Calabria,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Coat_of_arms_of_Calabria.svg/100px-Coat_of_arms_of_Calabria.svg.png
15,Campania,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Regione-Campania-Stemma.svg/100px-Regione-Campania-Stemma.svg.png
8,Emilia-Romagna,//upload.wikimedia.org/wikipedia/it/thumb/5/56/Logo_testo_Emilia-Romagna.svg/100px-Logo_testo_Emilia-Romagna.svg.png
6,Friuli Venezia Giulia,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/CoA_of_Friuli-Venezia_Giulia.png/100px-CoA_of_Friuli-Venezia_Giulia.png
12,Lazio,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Lazio_Coat_of_Arms.svg/100px-Lazio_Coat_of_Arms.svg.png
7,Liguria,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Coat_of_arms_of_Liguria.svg/100px-Coat_of_arms_of_Liguria.svg.png
3,Lombardia,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Regione-Lombardia-Stemma.svg/100px-Regione-Lombardia-Stemma.svg.png
11,Marche,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Coat_of_arms_of_Marche.svg/100px-Coat_of_arms_of_Marche.svg.png
14,Molise,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Regione-Molise-Stemma.svg/100px-Regione-Molise-Stemma.svg.png
1,Piemonte,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Regione-Piemonte-Stemma.svg/100px-Regione-Piemonte-Stemma.svg.png
16,Puglia,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Coat_of_Arms_of_Apulia.svg/100px-Coat_of_Arms_of_Apulia.svg.png
20,Sardegna,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sardegna-Stemma.svg/100px-Sardegna-Stemma.svg.png
19,Sicilia,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Coat_of_arms_of_Sicily.svg/100px-Coat_of_arms_of_Sicily.svg.png
9,Toscana,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Coat_of_arms_of_Tuscany.svg/100px-Coat_of_arms_of_Tuscany.svg.png
4,Trentino-Alto Adige,//upload.wikimedia.org/wikipedia/it/thumb/1/14/Stemma_Trentino_-_S%C3%BCdtirol.svg/100px-Stemma_Trentino_-_S%C3%BCdtirol.svg.png
10,Umbria,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Regione-Umbria-Stemma.svg/100px-Regione-Umbria-Stemma.svg.png
2,Valle d'Aosta,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Valle_d%27Aosta-Stemma.svg/100px-Valle_d%27Aosta-Stemma.svg.png
5,Veneto,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Coat_of_Arms_of_Veneto.png/100px-Coat_of_Arms_of_Veneto.png
